"","id","species","nematode_count","species_code"
"56","sc15-07-016","ochsneri",4,2
"57","sc14-10","eos",0,3
"58","sc14-10","eos",0,3
"59","sc14-10","eos",0,3
"60","sc14-10","eos",0,3
"61","sc14-10","eos",0,3
"62","sc14-10","eos",0,3
"63","sc14-10","eos",0,3
"64","sc14-10","eos",0,3
"65","sc14-10","eos",0,3
"66","sc14-18","eos",0,3
"67","sc14-18","eos",0,3
"68","sc14-18","eos",0,3
"69","sc14-18","eos",0,3
"70","sc14-12","eos",0,3
"71","sc14-12","eos",0,3
"72","sc14-13","eos",0,3
"73","sc14-13","eos",0,3
"74","sc14-13","eos",0,3
"75","sc14-13","eos",0,3
"76","sc14-13","eos",0,3
"77","sc14-13","eos",0,3
"78","sc14-13","eos",0,3
"79","sc15-06","ochsneri",1,2
"80","sc15-06","ochsneri",5,2
"81","sc15-06","ochsneri",0,2
"82","sc15-06","ochsneri",100,2
"83","sc15-06","ochsneri",35,2
"84","sc15-06","ochsneri",0,2
"85","sc15-06","ochsneri",0,2
"86","sc15-06","ochsneri",24,2
"87","sc15-06","ochsneri",90,2
"88","sc15-07-013","ochsneri",1,2
"89","sc01","ochsneri",13,2
"90","sc01","ochsneri",2,2
"91","sc01","ochsneri",0,2
"92","sc01","ochsneri",2,2
"93","sc01","ochsneri",0,2
"94","sc01","ochsneri",3,2
"95","sc01","ochsneri",0,2
"96","sc15-07-01-10","ochsneri",4,2
"97","sc15-07-01-8","ochsneri",3,2
"98","sc14-03-17","ochsneri",1,2
"99","sc01-01","ochsneri",3,2
"100","sc01-01","ochsneri",0,2
"101","sc01-01","ochsneri",0,2
"102","sc01-01","ochsneri",0,2
"103","sc01-01","ochsneri",0,2
"104","sc01-01","ochsneri",0,2
"105","sc15-05","ochsneri",1,2
"106","sc15-05","ochsneri",6,2
"107","sc15-05","ochsneri",50,2
"108","sc15-05","ochsneri",100,2
"109","sc15-05","ochsneri",75,2
"110","sc15-05","ochsneri",0,2
"111","sc15-05","ochsneri",100,2
"112","sc15-05","ochsneri",1,2
"113","sc15-05","ochsneri",0,2
"114","sc15-05","ochsneri",0,2
"115","sc15","ochsneri",40,2
"116","sc15","ochsneri",35,2
"117","sc16-04","eos",0,3
"118","sc16-04","eos",0,3
"119","sc16-04","eos",0,3
"120","sc16-04","eos",0,3
"121","sc16-04","eos",0,3
"122","sc16-04","eos",0,3
"123","sc16-04","eos",0,3
"124","sc16-04","eos",0,3
"125","sc16-04","eos",0,3
"126","sc16-04","eos",0,3
"127","sc16-04","eos",0,3
"128","sc16-04","eos",0,3
"129","sc16-04","eos",0,3
"130","sc16-04","eos",0,3
"131","sc16-04","eos",0,3
"132","sc16-04","eos",0,3
"133","sc16-04","eos",0,3
"134","sc16-04","eos",0,3
"135","sc16-04","eos",0,3
"136","sc16-04","eos",0,3
"137","sc15-15","tanneri",3,4
"138","sc15-15","tanneri",40,4
"139","sc15-15","tanneri",2,4
"140","sc15-15","tanneri",0,4
"141","sc15-15","tanneri",0,4
"142","sc15-15","tanneri",0,4
"143","sc15-15","tanneri",0,4
"144","sc15-15","tanneri",0,4
"145","sc15-15","tanneri",0,4
"146","sc15-15","tanneri",0,4
"147","sc15-15","tanneri",0,4
"148","sc15-15","tanneri",0,4
"149","sc15-15","tanneri",0,4
"150","sc15-15","tanneri",0,4
"151","sc15-15","tanneri",0,4
"152","sc15-15","tanneri",0,4
"153","sc15-15","tanneri",0,4
"154","sc15-15","tanneri",0,4
"155","sc15-15","tanneri",0,4
"156","sc15-01","tanneri",0,4
"157","sc15-01","tanneri",0,4
"158","sc15-01","tanneri",0,4
"159","sc15-01","tanneri",0,4
"160","sc15-01","tanneri",0,4
"161","sc15-01","tanneri",0,4
"162","sc15-01","tanneri",0,4
"163","sc15-01","tanneri",0,4
"164","sc15-01","tanneri",0,4
"165","sc15","tanneri",0,4
"166","sc15","tanneri",0,4
"167","sc15","tanneri",0,4
"168","sc15","tanneri",0,4
"169","sc15","tanneri",2,4
"170","sc15","tanneri",50,4
"171","sc15","tanneri",0,4
"172","sc15","tanneri",0,4
"173","sc15","tanneri",0,4
"174","sc15","tanneri",0,4
"175","sc15","tanneri",0,4
"176","sc15","tanneri",0,4
"177","sc15","tanneri",0,4
"178","sc15","tanneri",0,4
"179","sc15","tanneri",0,4
"180","sc15","tanneri",0,4
"181","sc15","tanneri",0,4
"182","sc15","tanneri",0,4
"183","sc15","tanneri",0,4
"184","sc15","tanneri",0,4
"185","sc15","tanneri",0,4
"186","sc15","tanneri",0,4
"187","sc112","reibischi",3,5
"188","sc112","reibischi",20,5
"189","sc112","reibischi",3,5
"190","sc112","reibischi",1,5
"191","sc112","reibischi",0,5
"192","sc112","reibischi",0,5
"193","sc112","reibischi",0,5
"194","sc112","reibischi",0,5
"195","sc112","reibischi",0,5
"196","sc112","reibischi",0,5
"197","sc112","reibischi",0,5
"198","sc112","reibischi",0,5
"199","sc-c1A-18","reibischi",1,5
"200","sc-c1A-19","reibischi",26,5
"201","sc-c1A-20","reibischi",60,5
"202","sc-c1A-21","reibischi",15,5
"203","sc-c1A-22","reibischi",13,5
"204","sc-c1A-23","reibischi",35,5
"205","sc-c1A-24","reibischi",8,5
"206","sc-c1A-25","reibischi",0,5
"207","sc-c1A-26","reibischi",0,5
"208","sc-c1A-27","reibischi",0,5
"209","sc-c1A-28","reibischi",0,5
"210","sc-c1A-29","reibischi",0,5
"211","sc-c1A-30","reibischi",1,5
"212","sc-c1A-31","reibischi",0,5
"213","sc-c1A-32","reibischi",16,5
"214","sc-c1A-33","reibischi",0,5
"215","sc-c1A-34","reibischi",21,5
"216","sc-c1A-35","reibischi",0,5
"217","sc-c1A-36","reibischi",0,5
"218","sc-c1A-37","reibischi",0,5
"219","sc-c1A-38","reibischi",0,5
"220","sc-c1A-39","reibischi",0,5
"221","sc-c1A-40","reibischi",0,5
"222","sc-c1A-41","reibischi",3,5
"223","sc-c1A-42","reibischi",0,5
"224","sc03-64","reibischi",0,5
"225","sc03-65","reibischi",0,5
"226","sc03-66","reibischi",0,5
"227","sc03-67","reibischi",0,5
"228","sc03-68","reibischi",0,5
"229","sc03-69","reibischi",0,5
"230","sc03-70","reibischi",0,5
"231","sc-c1A-18","reibischi",8,5
"232","sc-c1A-18","reibischi",20,5
"233","sc-c1A-18","reibischi",0,5
"234","sc-c1A-18","reibischi",0,5
"235","sc-c1A-18","reibischi",0,5
"236","sc-c1A-18","reibischi",0,5
"237","sc-00-8","wolfi",13,6
"238","sc-00-9","wolfi",3,6
"239","sc-00-10","wolfi",50,6
"240","sc-00-11","wolfi",60,6
"241","sc-00-12","wolfi",6,6
"242","sc-00-13","wolfi",2,6
"243","sc-00-14","wolfi",0,6
"244","sc-00-15","wolfi",0,6
"245","sc-00-16","wolfi",0,6
"246","sc-00-17","wolfi",0,6
"247","sc-00-18","wolfi",0,6
"248","sc14-11","wolfi",6,6
"249","sc14-12","wolfi",4,6
"250","sc14-13","wolfi",1,6
"251","sc14-14","wolfi",1,6
"252","sc14-15","wolfi",0,6
"253","sc-008","wolfi",5,6
"254","sc-008","wolfi",1,6
"255","sc-008","wolfi",1,6
"256","sc-008","wolfi",2,6
"257","sc-008","wolfi",0,6
"258","sc-008","wolfi",0,6
"259","sc-008","wolfi",0,6
"260","sc-008","wolfi",0,6
"261","sc-008","wolfi",0,6
"262","sc-008","wolfi",0,6
"263","sc-008","wolfi",0,6
"264","sc-008","wolfi",0,6
"265","sc-008","wolfi",0,6
"266","sc-008","wolfi",0,6
"267","sc-008","wolfi",0,6
"268","sc14-04","wolfi",1,6
"269","sc14-04","wolfi",6,6
"270","sc14-04","wolfi",0,6
"271","sc14-04","wolfi",0,6
"272","sc14-04","wolfi",0,6
"273","sc14-04","wolfi",0,6
"274","sc14-04","wolfi",0,6
"275","sc14-04","wolfi",0,6
"276","sc14-04","wolfi",0,6
"277","sc14-04","wolfi",0,6
"278","sc14-04","wolfi",0,6
"279","sc14-04","wolfi",0,6
"280","sc14-04","wolfi",0,6
"281","sc14-04","wolfi",0,6
"282","sc14-04","wolfi",0,6
"283","sc14-04","wolfi",0,6
"284","sc14-04","wolfi",0,6
"285","sc14-04","wolfi",0,6
"286","sc14-04","wolfi",0,6
"287","sc-c1A12","akamatus",3,7
"288","sc-c1A12","akamatus",3,7
"289","sc-c1A12","akamatus",3,7
"290","sc-c1A12","akamatus",20,7
"291","sc-c1A12","akamatus",18,7
"292","sc-c1A12","akamatus",8,7
"293","sc-c1A12","akamatus",4,7
"294","sc-c1A12","akamatus",8,7
"295","sc-c1A12","akamatus",5,7
"296","sc-c1A12","akamatus",3,7
"297","sc-c1A12","akamatus",13,7
"298","sc-c1A12","akamatus",0,7
"299","sc-c1A12","akamatus",0,7
"300","sc-c1A12","akamatus",0,7
"301","sc-c1A12","akamatus",0,7
"302","sc-c1A12","akamatus",0,7
"303","sc-c1A12","akamatus",0,7
"304","sc-c1A12","akamatus",0,7
"305","sc-c1A42","akamatus",3,7
"306","sc-c1A42","akamatus",24,7
"307","sc-c1A42","akamatus",4,7
"308","sc-c1A42","akamatus",5,7
"309","sc-c1A42","akamatus",5,7
"310","sc-c1A42","akamatus",3,7
"311","sc-c1A42","akamatus",4,7
"312","sc-c1A42","akamatus",0,7
"313","sc-c1A42","akamatus",0,7
"314","sc-c1A42","akamatus",0,7
"315","sc-c1A42","akamatus",0,7
"316","sc-c1A42","akamatus",0,7
"317","sc-c1A42","akamatus",0,7
"318","sc-c1A42","akamatus",0,7
"319","sc-c1A42","akamatus",0,7
"320","sc-c1A42","akamatus",0,7
"321","sc-c1A42","akamatus",45,7
"322","sc-c1A42","akamatus",5,7
"323","sc-c1A42","akamatus",4,7
"324","sc-c1A42","akamatus",45,7
"325","sc-c1A42","akamatus",0,7
"326","sc-c1A42","akamatus",0,7
"327","sc-c1A42","akamatus",4,7
"328","sc-c1A42","akamatus",4,7
"329","sc-c1A42","akamatus",0,7
"330","sc-c1A42","akamatus",0,7
"331","sc-c1A42","akamatus",0,7
"332","sc-c1A42","akamatus",0,7
"333","sc-c1A42","akamatus",0,7
"334","sc-c1A42","akamatus",0,7
"335","sc-c1A42","akamatus",0,7
"336","sc-c1A42","akamatus",0,7
"337","sc-c1A42","akamatus",0,7
"338","sc-c1A42","akamatus",0,7
"339","SC-GA39","akamatus",0,7
"340","SC-GA39","akamatus",0,7
"341","SC-GA39","akamatus",0,7
"342","SC-GA39","akamatus",36,7
"343","SC-GA39","akamatus",30,7
"344","SC-GA39","akamatus",72,7
"345","sl14-04","amastroides",1,8
"346","sl14-04","amastroides",1,8
"347","sl14-04","amastroides",0,8
"348","sl14-04","amastroides",0,8
"349","sl14-04","amastroides",0,8
"350","sl14-04","amastroides",0,8
"351","sl14-04","amastroides",0,8
"352","sl14-04","amastroides",0,8
"353","sl14-04","amastroides",0,8
"354","sl14-04","amastroides",0,8
"355","sl14-04","amastroides",0,8
"356","sl14-04","amastroides",0,8
"357","sl14-04","amastroides",0,8
"358","sl14-04","amastroides",0,8
"359","sl14-04","amastroides",0,8
"360","sl14-04","amastroides",0,8
"361","sl14-04","amastroides",0,8
"362","sl14-04","amastroides",0,8
"363","sl14-04","amastroides",2,8
"364","sl14-04","amastroides",1,8
"365","sl14-04","amastroides",4,8
"366","sl14-04","amastroides",1,8
"367","sl14-04","amastroides",7,8
"368","sl14-04","amastroides",2,8
"369","sl14-04","amastroides",0,8
"370","sl14-04","amastroides",0,8
"371","sl14-04","amastroides",0,8
"372","sl14-04","amastroides",0,8
"373","sl14-04","amastroides",0,8
"374","sl14-04","amastroides",0,8
"375","sl14-04","amastroides",0,8
"376","sl14-04","amastroides",0,8
"377","sl14-04","amastroides",0,8
"378","sl14-04","amastroides",0,8
"379","sl14-04","amastroides",0,8
"380","sl14-04","amastroides",0,8
"381","sl14-04","amastroides",0,8
"382","sl14-04","amastroides",0,8
"383","sl14-04","amastroides",0,8
"384","sl14-04","amastroides",1,8
"385","sl14-04","amastroides",2,8
"386","sl14-04","amastroides",3,8
"387","SL17-13","amastroides",4,8
"388","SL17-13","amastroides",0,8
"389","SL17-13","amastroides",0,8
"390","SL17-13","amastroides",0,8
"391","SL17-13","amastroides",0,8
"392","SL17-13","amastroides",0,8
"393","SL17-13","amastroides",0,8
"394","SL17-13","amastroides",0,8
"395","SL17-13","basiplicatus",8,9
"396","SL17-13","basiplicatus",2,9
"397","SL17-13","basiplicatus",1,9
"398","SL17-13","basiplicatus",2,9
"399","SL17-13","basiplicatus",5,9
"400","sl14","basiplicatus",1,9
"401","sl14","basiplicatus",2,9
"402","sl14","basiplicatus",0,9
"403","sl14","basiplicatus",0,9
"404","sl14","basiplicatus",0,9
"405","sl-21-23","basiplicatus",0,9
"406","sl-21-23","basiplicatus",0,9
"407","sl-21-23","basiplicatus",0,9
"408","sl-21-23","basiplicatus",0,9
"409","sl-21-23","basiplicatus",0,9
"410","sl-21-23","basiplicatus",0,9
"411","sl-21-23","basiplicatus",0,9
"412","sl-21-23","basiplicatus",0,9
"413","sl-21-23","basiplicatus",0,9
"414","sl-21-23","basiplicatus",0,9
"415","sl-21-23","basiplicatus",0,9
"416","sl-21-23","basiplicatus",0,9
"417","sl14-03","basiplicatus",2,9
"418","sl14-03","basiplicatus",3,9
"419","sl14-03","basiplicatus",2,9
"420","sl14-03","basiplicatus",0,9
"421","sl14-03","basiplicatus",0,9
"422","sl14-03","basiplicatus",0,9
"423","sl14-03","basiplicatus",0,9
"424","sl14-03","basiplicatus",0,9
"425","sl14-03","basiplicatus",0,9
"426","sl14-03","basiplicatus",2,9
"427","sl14-03","basiplicatus",4,9
"428","sl14-03","basiplicatus",2,9
"429","sl14-03","basiplicatus",0,9
"430","sl14-03","basiplicatus",0,9
"431","sl14-03","basiplicatus",0,9
"432","sl14-03","basiplicatus",0,9
"433","sl14-03","basiplicatus",0,9
"434","sl14-03","basiplicatus",0,9
"435","sl14-03","basiplicatus",0,9
"436","sl14-03","basiplicatus",0,9
"437","sl17-08","eschariferus",1,10
"438","sl17-08","eschariferus",26,10
"439","sl17-08","eschariferus",2,10
"440","sl17-08","eschariferus",4,10
"441","sl17-08","eschariferus",26,10
"442","sl17-08","eschariferus",0,10
"443","sl17-08","eschariferus",0,10
"444","sl17-08","eschariferus",0,10
"445","sl17-08","eschariferus",0,10
"446","sl17-08","eschariferus",2,10
"447","sl17-08","eschariferus",4,10
"448","sl17-08","eschariferus",1,10
"449","sl17-08","eschariferus",0,10
"450","sl17-08","eschariferus",0,10
"451","sl17-08","eschariferus",0,10
"452","sl17-08","eschariferus",0,10
"453","sl17-08","eschariferus",0,10
"454","sl17-08","eschariferus",0,10
"455","sl17-08","eschariferus",0,10
"456","sl17-08","eschariferus",0,10
"457","sl17-08","eschariferus",0,10
"458","sl17-08","eschariferus",0,10
"459","sl17-08","eschariferus",0,10
"460","sl17-08","eschariferus",0,10
"461","sl17-08","eschariferus",0,10
"462","sl17-08","eschariferus",0,10
"463","sl17-08","eschariferus",0,10
"464","sl17-08","eschariferus",0,10
"465","sl17-08","eschariferus",0,10
"466","sl17-08","eschariferus",0,10
"467","sl17-08","eschariferus",0,10
"468","sl17-08","eschariferus",0,10
"469","sl17-08","eschariferus",0,10
"470","sl17-08","eschariferus",0,10
"471","sl17-08","eschariferus",0,10
"472","sl17-08","eschariferus",0,10
"473","sl17-08","eschariferus",0,10
"474","sl17-08","eschariferus",0,10
"475","sl17-08","eschariferus",0,10
"476","sl17-08","eschariferus",0,10
"477","sl17-08","eschariferus",0,10
"478","sl17-08","eschariferus",0,10
"479","sl17-08","eschariferus",0,10
"480","sl17-08","eschariferus",0,10
"481","sl17-08","eschariferus",2,10
"482","sl17-08","eschariferus",4,10
"483","sl17-08","eschariferus",1,10
"484","sl17-08","eschariferus",0,10
"485","sl17-08","eschariferus",0,10
"486","sl17-08","eschariferus",0,10
"487","sA02-02","darwini",10,11
"488","sA02-02","darwini",4,11
"489","sA02-02","darwini",10,11
"490","sA02-02","darwini",0,11
"491","sA02-02","darwini",0,11
"492","sA02-02","darwini",0,11
"493","sA02-02","darwini",0,11
"494","sA02-02","darwini",0,11
"495","sA02-02","darwini",0,11
"496","sA02-02","darwini",0,11
"497","sA02-02","darwini",0,11
"498","sA02-02","darwini",0,11
"499","sA31","darwini",12,11
"500","sA31","darwini",4,11
"501","sA31","darwini",13,11
"502","sA31","darwini",1,11
"503","sA31","darwini",11,11
"504","sA31","darwini",2,11
"505","sA31","darwini",0,11
"506","sA31","darwini",0,11
"507","sA31","darwini",0,11
"508","sA31","darwini",0,11
"509","sA31","darwini",0,11
"510","sA01-05","darwini",0,11
"511","sA01-05","darwini",0,11
"512","sA01-05","darwini",0,11
"513","sA01-05","darwini",0,11
"514","sA01-05","darwini",0,11
"515","sA01-05","darwini",0,11
"516","sA02-02","darwini",1,11
"517","sA02-02","darwini",1,11
"518","sA02-02","darwini",1,11
"519","sA02-02","darwini",1,11
"520","sA02-02","darwini",0,11
"521","sA02-02","darwini",0,11
"522","sA02-02","darwini",0,11
"523","sA02-02","darwini",0,11
"524","sA02-02","darwini",0,11
"525","sA02-02","darwini",0,11
"526","sA02-02","darwini",0,11
"527","sA02-02","darwini",0,11
"528","sA02-02","darwini",0,11
"529","sA02-02","darwini",0,11
"530","sA02-02","darwini",0,11
"531","sA02-02","darwini",0,11
"532","sA02-02","darwini",0,11
"533","sA02-02","darwini",0,11
"534","sA02-02","darwini",0,11
"535","sA02-02","darwini",0,11
"536","sA02-02","darwini",0,11
"537","sA02-02","darwini",0,11
"538","sA-16-04","sculpturatus",6,12
"539","sA-16-04","sculpturatus",13,12
"540","sA-16-04","sculpturatus",2,12
"541","sA-16-04","sculpturatus",6,12
"542","sA-16-04","sculpturatus",1,12
"543","sA-16-04","sculpturatus",0,12
"544","sA-16-04","sculpturatus",0,12
"545","sA-16-04","sculpturatus",0,12
"546","sA-16-04","sculpturatus",0,12
"547","sA-16-04","sculpturatus",0,12
"548","sA-16-04","sculpturatus",0,12
"549","sA-16-04","sculpturatus",0,12
"550","sA-16-04","sculpturatus",0,12
"551","sA-16-04","sculpturatus",0,12
"552","sA-16-04","sculpturatus",0,12
"553","sA-16-04","sculpturatus",0,12
"554","sA-16-04","sculpturatus",0,12
"555","sA-16-04","sculpturatus",0,12
"556","sA-02-03","sculpturatus",1,12
"557","sA-02-03","sculpturatus",3,12
"558","sA-02-03","sculpturatus",7,12
"559","sA-02-03","sculpturatus",0,12
"560","sA-02-03","sculpturatus",16,12
"561","sA-02-03","sculpturatus",0,12
"562","sA-02-03","sculpturatus",0,12
"563","sA-02-03","sculpturatus",0,12
"564","sA-02-03","sculpturatus",0,12
"565","sA-02-03","sculpturatus",0,12
"566","sA-02-03","sculpturatus",0,12
"567","sA-02-03","sculpturatus",0,12
"568","sA-02-03","sculpturatus",0,12
"569","sA-02-03","sculpturatus",0,12
"570","sA-02-03","sculpturatus",0,12
"571","sA-02-03","sculpturatus",0,12
"572","sA-02-03","sculpturatus",0,12
"573","sA-02-03","sculpturatus",0,12
"574","sA-02-03","sculpturatus",0,12
"575","sA-02-03","sculpturatus",0,12
"576","sA-02-03","sculpturatus",0,12
"577","sA-02-03","sculpturatus",1,12
"578","sA-02-03","sculpturatus",5,12
"579","sA-02-03","sculpturatus",7,12
"580","sA-02-03","sculpturatus",3,12
"581","sA-02-03","sculpturatus",4,12
"582","sA-02-03","sculpturatus",0,12
"583","sA-02-03","sculpturatus",0,12
"584","sA-02-03","sculpturatus",0,12
"585","sA-02-03","sculpturatus",0,12
"586","sA-02-03","sculpturatus",0,12
"587","sA-02-03","sculpturatus",0,12
"588","sA-20-11","jacobinus",15,13
"589","sA-20-11","jacobinus",23,13
"590","sA-20-11","jacobinus",0,13
"591","sA-20-11","jacobinus",0,13
"592","sA-20-11","jacobinus",0,13
"593","sA-20-11","jacobinus",0,13
"594","sA-20-11","jacobinus",0,13
"595","sA-20-11","jacobinus",0,13
"596","sA-20-11","jacobinus",0,13
"597","sA-20-11","jacobinus",0,13
"598","sA-20-11","jacobinus",0,13
"599","sA-20-11","jacobinus",0,13
"600","sA-20-11","jacobinus",0,13
"601","sA-20-11","jacobinus",0,13
"602","sA-20-11","jacobinus",3,13
"603","sA-16-03(19)","jacobinus",12,13
"604","sA-16-03(19)","jacobinus",1,13
"605","sA-16-03(19)","jacobinus",22,13
"606","sA-16-03(19)","jacobinus",2,13
"607","sA-16-03(19)","jacobinus",3,13
"608","sA-16-03(19)","jacobinus",1,13
"609","sA-16-03(19)","jacobinus",5,13
"610","sA-16-03(19)","jacobinus",0,13
"611","sA-16-03(19)","jacobinus",0,13
"612","sA-16-03(19)","jacobinus",0,13
"613","sA-16-03(19)","jacobinus",0,13
"614","sA-16-03(19)","jacobinus",0,13
"615","sA-16-03(19)","jacobinus",0,13
"616","sA-16-03(19)","jacobinus",0,13
"617","sA-20-09","jacobinus",8,13
"618","sA-20-09","jacobinus",4,13
"619","sA-20-09","jacobinus",20,13
"620","sA-20-09","jacobinus",20,13
"621","sA-20-09","jacobinus",5,13
"622","sA-20-09","jacobinus",12,13
"623","sA-20-09","jacobinus",8,13
"624","sA-20-09","jacobinus",0,13
"625","sA-20-09","jacobinus",0,13
"626","sA-20-09","jacobinus",0,13
"627","sA-20-09","jacobinus",0,13
"628","sA-20-09","jacobinus",0,13
"629","sA-20-09","jacobinus",0,13
"630","sA-20-09","jacobinus",0,13
"631","sA-20-09","jacobinus",0,13
"632","sA-20-09","jacobinus",0,13
"633","sA-20-09","jacobinus",0,13
"634","sA-20-09","jacobinus",0,13
"635","sA-20-09","jacobinus",0,13
"636","sA-20-09","jacobinus",0,13
"637","sA-20-09","jacobinus",0,13
"638","sl05-01","perspectivus",38,14
"639","sl05-01","perspectivus",10,14
"640","sl05-01","perspectivus",20,14
"641","sl05-01","perspectivus",0,14
"642","sl05-01","perspectivus",0,14
"643","sl05-01","perspectivus",0,14
"644","sl05-01","perspectivus",0,14
"645","sl05-01","perspectivus",0,14
"646","sl05-01","perspectivus",0,14
"647","sl05-01","perspectivus",0,14
"648","sl05-01","perspectivus",0,14
"649","sl05-01","perspectivus",0,14
"650","sl05-01","perspectivus",0,14
"651","sl05-01","perspectivus",0,14
"652","sl05-01","perspectivus",0,14
"653","sl05-01","perspectivus",0,14
"654","sl05-01","perspectivus",3,14
"655","sl05-01","perspectivus",4,14
"656","sl05-01","perspectivus",2,14
"657","sl05-01","perspectivus",18,14
"658","sl05-01","perspectivus",0,14
"659","sl05-01","perspectivus",0,14
"660","sl05-01","perspectivus",0,14
"661","sl05-01","perspectivus",0,14
"662","sl05-01","perspectivus",0,14
"663","sl05-01","perspectivus",0,14
"664","sl05-01","perspectivus",0,14
"665","sl05-01","perspectivus",0,14
"666","sl05-01","perspectivus",0,14
"667","sl05-01","perspectivus",0,14
"668","sl05-01","perspectivus",30,14
"669","sl05-01","perspectivus",1,14
"670","sl05-01","perspectivus",1,14
"671","sl05-01","perspectivus",20,14
"672","sl05-01","perspectivus",20,14
"673","sl05-01","perspectivus",3,14
"674","sl05-01","perspectivus",50,14
"675","sl05-01","perspectivus",0,14
"676","sl05-01","perspectivus",0,14
"677","sl05-01","perspectivus",0,14
"678","sl05-01","perspectivus",0,14
"679","sl05-01","perspectivus",0,14
"680","sl05-01","perspectivus",0,14
"681","sl05-01","perspectivus",0,14
"682","sl05-01","perspectivus",0,14
"683","sl05-01","perspectivus",0,14
"684","sl05-01","perspectivus",0,14
"685","sl05-01","perspectivus",0,14
"686","sl05-01","perspectivus",0,14
"687","sl05-01","perspectivus",0,14
"688","sl05-062","nuciformis",5,15
"689","sl05-062","nuciformis",8,15
"690","sl05-062","nuciformis",5,15
"691","sl05-062","nuciformis",6,15
"692","sl05-062","nuciformis",0,15
"693","sl05-062","nuciformis",0,15
"694","sl05-062","nuciformis",0,15
"695","sl05-062","nuciformis",0,15
"696","sl05-062","nuciformis",0,15
"697","sl05-062","nuciformis",0,15
"698","sl05-062","nuciformis",0,15
"699","sl05-062","nuciformis",0,15
"700","sl05-062","nuciformis",0,15
"701","sl05-062","nuciformis",0,15
"702","sl05-05","nuciformis",12,15
"703","sl05-05","nuciformis",11,15
"704","sl05-05","nuciformis",100,15
"705","sl05-05","nuciformis",4,15
"706","sl05-05","nuciformis",3,15
"707","sl05-05","nuciformis",36,15
"708","sl05-05","nuciformis",0,15
"709","sl05-05","nuciformis",0,15
"710","sl05-05","nuciformis",0,15
"711","sl05-05","nuciformis",0,15
"712","sl05-05","nuciformis",0,15
"713","sl05-05","nuciformis",0,15
"714","sl05-06","nuciformis",100,15
"715","sl05-06","nuciformis",100,15
"716","sl05-06","nuciformis",6,15
"717","sl05-06","nuciformis",1,15
"718","sl05-06","nuciformis",3,15
"719","sl05-06","nuciformis",1,15
"720","sl05-06","nuciformis",2,15
"721","sl05-06","nuciformis",100,15
"722","sl05-06","nuciformis",5,15
"723","sl05-06","nuciformis",1,15
"724","sl05-06","nuciformis",10,15
"725","sl05-06","nuciformis",100,15
"726","sl05-06","nuciformis",24,15
"727","sl05-06","nuciformis",0,15
"728","sl05-06","nuciformis",0,15
"729","sl05-06","nuciformis",0,15
"730","sl05-06","nuciformis",0,15
"731","sl05-06","nuciformis",0,15
"732","sl05-06","nuciformis",0,15
"733","sl05-06","nuciformis",3,15
"734","sl05-06","nuciformis",0,15
"735","sl05-06","nuciformis",0,15
"736","sl05-06","nuciformis",0,15
"737","sl05-06","nuciformis",0,15
"738","sl19-02","bauri",3,16
"739","sl19-02","bauri",42,16
"740","sl19-02","bauri",4,16
"741","sl19-02","bauri",5,16
"742","sl19-02","bauri",3,16
"743","sl19-02","bauri",1,16
